session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
32,Person_0,2019-10-19 16:37:43,0.0,0.0,,0.0,0.0
32,Person_1,2019-10-19 16:37:48,0.0,0.0,,0.0,0.0
32,Person_2,2019-10-19 16:37:48,0.0,0.0,2019-10-19 16:38:36,0.0,0.0
32,Person_3,2019-10-19 16:37:48,0.0,0.0,2019-10-19 16:37:59,0.0,0.0
32,Person_4,2019-10-19 16:37:51,0.0,0.0,,0.0,0.0
32,Person_5,2019-10-19 16:37:56,0.0,0.0,,0.0,0.0
32,Person_6,2019-10-19 16:38:19,0.0,0.0,,0.0,0.0
32,Person_7,2019-10-19 16:38:20,0.0,0.0,,0.0,0.0
32,Person_8,2019-10-19 16:38:31,0.0,0.0,,0.0,0.0
32,Person_9,2019-10-19 16:38:36,0.0,0.0,,0.0,0.0
