session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
24,Person_0,2019-10-19 15:04:09,0.0,0.0,,0.0,0.0
24,Person_1,2019-10-19 15:04:19,0.0,0.0,,0.0,0.0
24,Person_2,2019-10-19 15:04:18,0.0,0.0,2019-10-19 15:05:52,0.0,0.0
24,Person_3,2019-10-19 15:04:19,0.0,0.0,2019-10-19 15:04:42,0.0,0.0
24,Person_4,2019-10-19 15:04:25,0.0,0.0,,0.0,0.0
24,Person_5,2019-10-19 15:04:36,0.0,0.0,,0.0,0.0
24,Person_6,2019-10-19 15:05:19,0.0,0.0,,0.0,0.0
24,Person_7,2019-10-19 15:05:21,0.0,0.0,,0.0,0.0
24,Person_8,2019-10-19 15:05:42,0.0,0.0,,0.0,0.0
24,Person_9,2019-10-19 15:05:52,0.0,0.0,,0.0,0.0
