session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
23,Person_0,2019-10-19 14:57:19,0.0,0.0,,0.0,0.0
23,Person_1,2019-10-19 14:57:24,0.0,0.0,,0.0,0.0
23,Person_2,2019-10-19 14:57:24,0.0,0.0,2019-10-19 14:58:45,0.0,0.0
23,Person_3,2019-10-19 14:57:24,0.0,0.0,2019-10-19 14:57:35,0.0,0.0
23,Person_4,2019-10-19 14:57:27,0.0,0.0,,0.0,0.0
23,Person_5,2019-10-19 14:57:32,0.0,0.0,,0.0,0.0
23,Person_6,2019-10-19 14:57:55,0.0,0.0,,0.0,0.0
23,Person_7,2019-10-19 14:57:56,0.0,0.0,,0.0,0.0
23,Person_8,2019-10-19 14:58:07,0.0,0.0,,0.0,0.0
23,Person_9,2019-10-19 14:58:13,0.0,0.0,,0.0,0.0
