session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
33,Person_0,2019-10-19 16:39:59,0.0,0.0,,0.0,0.0
33,Person_1,2019-10-19 16:40:04,0.0,0.0,,0.0,0.0
33,Person_2,2019-10-19 16:40:04,0.0,0.0,2019-10-19 16:41:21,0.0,0.0
33,Person_3,2019-10-19 16:40:04,0.0,0.0,2019-10-19 16:40:15,0.0,0.0
33,Person_4,2019-10-19 16:40:07,0.0,0.0,,0.0,0.0
33,Person_5,2019-10-19 16:40:12,0.0,0.0,,0.0,0.0
33,Person_6,2019-10-19 16:40:34,0.0,0.0,,0.0,0.0
33,Person_7,2019-10-19 16:40:35,0.0,0.0,,0.0,0.0
33,Person_8,2019-10-19 16:40:46,0.0,0.0,,0.0,0.0
33,Person_9,2019-10-19 16:40:51,0.0,0.0,,0.0,0.0
