session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
26,Person_0,2019-10-19 15:10:09,0.0,0.0,,0.0,0.0
26,Person_1,2019-10-19 15:10:19,0.0,0.0,,0.0,0.0
26,Person_2,2019-10-19 15:10:18,0.0,0.0,2019-10-19 15:13:47,0.0,0.0
26,Person_3,2019-10-19 15:10:19,0.0,0.0,2019-10-19 15:10:41,0.0,0.0
26,Person_4,2019-10-19 15:10:25,0.0,0.0,,0.0,0.0
26,Person_5,2019-10-19 15:10:35,0.0,0.0,,0.0,0.0
26,Person_6,2019-10-19 15:11:17,0.0,0.0,,0.0,0.0
26,Person_7,2019-10-19 15:11:18,0.0,0.0,,0.0,0.0
26,Person_8,2019-10-19 15:11:39,0.0,0.0,,0.0,0.0
26,Person_9,2019-10-19 15:11:49,0.0,0.0,,0.0,0.0
