session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
21,Person_0,2019-10-19 14:41:20,0.0,0.0,,0.0,0.0
21,Person_1,2019-10-19 14:41:25,0.0,0.0,,0.0,0.0
21,Person_2,2019-10-19 14:41:24,0.0,0.0,2019-10-19 14:42:46,0.0,0.0
21,Person_3,2019-10-19 14:41:25,0.0,0.0,2019-10-19 14:41:36,0.0,0.0
21,Person_4,2019-10-19 14:41:28,0.0,0.0,,0.0,0.0
21,Person_5,2019-10-19 14:41:33,0.0,0.0,,0.0,0.0
21,Person_6,2019-10-19 14:41:56,0.0,0.0,,0.0,0.0
21,Person_7,2019-10-19 14:41:57,0.0,0.0,,0.0,0.0
21,Person_8,2019-10-19 14:42:08,0.0,0.0,,0.0,0.0
21,Person_9,2019-10-19 14:42:14,0.0,0.0,,0.0,0.0
