session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
34,Person_0,2019-10-19 16:42:54,0.0,0.0,,0.0,0.0
34,Person_1,2019-10-19 16:42:59,0.0,0.0,,0.0,0.0
34,Person_2,2019-10-19 16:42:58,0.0,0.0,2019-10-19 16:44:51,0.0,0.0
34,Person_3,2019-10-19 16:42:59,0.0,0.0,2019-10-19 16:43:10,0.0,0.0
34,Person_4,2019-10-19 16:43:02,0.0,0.0,,0.0,0.0
34,Person_5,2019-10-19 16:43:07,0.0,0.0,,0.0,0.0
34,Person_6,2019-10-19 16:43:29,0.0,0.0,,0.0,0.0
34,Person_7,2019-10-19 16:43:29,0.0,0.0,,0.0,0.0
34,Person_8,2019-10-19 16:43:40,0.0,0.0,,0.0,0.0
34,Person_9,2019-10-19 16:43:46,0.0,0.0,,0.0,0.0
