session,name,first_seen,get_in_latitude,get_in_longitude,last_seen,get_off_latitude,get_off_longitude
22,Person_0,2019-10-19 14:44:42,0.0,0.0,,0.0,0.0
22,Person_1,2019-10-19 14:44:48,0.0,0.0,,0.0,0.0
22,Person_2,2019-10-19 14:44:47,0.0,0.0,2019-10-19 14:45:39,0.0,0.0
22,Person_3,2019-10-19 14:44:48,0.0,0.0,2019-10-19 14:45:00,0.0,0.0
22,Person_4,2019-10-19 14:44:51,0.0,0.0,,0.0,0.0
22,Person_5,2019-10-19 14:44:57,0.0,0.0,,0.0,0.0
22,Person_6,2019-10-19 14:45:21,0.0,0.0,,0.0,0.0
22,Person_7,2019-10-19 14:45:21,0.0,0.0,,0.0,0.0
22,Person_8,2019-10-19 14:45:34,0.0,0.0,,0.0,0.0
22,Person_9,2019-10-19 14:45:39,0.0,0.0,,0.0,0.0
